a cappella, Redewendung, nhd.; L.: WDG1
Abfahrttag, M., nhd.; L.: WDG1
Abfahrttechnik, F., nhd.; L.: WDG1
Abfahrtzeichen, N., nhd.; L.: WDG1
Abfahrtzeit, F., nhd.; L.: WDG1
Abfall, M., nhd.; L.: WDG1
Abfallbehälter, M., nhd.; L.: WDG1
Abfalleimer, M., nhd.; L.: WDG1
abfallen, V., nhd.; L.: WDG1
Abfallenergie, F., nhd.; L.: WDG1
Abfallerzeugnis, N., nhd.; L.: WDG1
Abfallgrube, F., nhd.; L.: WDG1
Abfallhaufen, M., nhd.; L.: WDG1
abfällig, Adj., nhd.; L.: WDG1
Abfälligkeit, F., nhd.; L.: WDG1
Abfallkorb, M., nhd.; L.: WDG1
Abfallkübel, M., nhd.; L.: WDG1
Abfallmaterial, N., nhd.; L.: WDG1
Abfallprodukt, N., nhd.; L.: WDG1
Abfallquote, F., nhd.; L.: WDG1
Abfallstoff, M., nhd.; L.: WDG1
Abfallstück, N., nhd.; L.: WDG1
Abfalltonne, F., nhd.; L.: WDG1
Abfallverwertung, F., nhd.; L.: WDG1
abfälschen, V., nhd.; L.: WDG1
abfangen, V., nhd.; L.: WDG1
Abfangjäger, M., nhd.; L.: WDG1
abfärben, V., nhd.; L.: WDG1
abfassen, V., nhd.; L.: WDG1
abfassen, V., nhd.; L.: WDG1
Abfassung, F., nhd.; L.: WDG1
abfaulen, V., nhd.; L.: WDG1
 abfechten, V., nhd.; L.: WDG1
abfedern, V., nhd.; L.: WDG1
Abfederung, F., nhd.; L.: WDG1
abfegen, V., nhd.; L.: WDG1
abfeiern, V., nhd.; L.: WDG1
abfeilen, V., nhd.; L.: WDG1
abfeilschen, V., nhd.; L.: WDG1
Abferkelhütte, F., nhd.; L.: WDG1
abferkeln,  V., nhd.; L.: WDG1
Abferkelstall, M., nhd.; L.: WDG1
abfertigen, V., nhd.; L.: WDG1
Abfertigung, F., nhd.; L.: WDG1
Abfertigungsdienst, M., nhd.; L.: WDG1
Abfertigungsgebühr, F., nhd.; L.: WDG1
Abfertigungsschalter, M., nhd.; L.: WDG1
abfetzen, V., nhd.; L.: WDG1
abfeuern, V., nhd.; L.: WDG1
Abfeuerung, F., nhd.; L.: WDG1
abfiebern, V., nhd.; L.: WDG1
abfiedeln, V., nhd.; L.: WDG1
abfiedeln, V., nhd.; L.: WDG1
abfieseln, V., nhd.; L.: WDG1
abfinden, V., nhd.; L.: WDG1
Abfindung, F., nhd.; L.: WDG1
Abfindungssumme, F., nhd.; L.: WDG1
abfischen, V., nhd.; L.: WDG1
abflachen, V., nhd.; L.: WDG1
Abflachung, F., nhd.; L.: WDG1
abflauen, V., nhd.; L.: WDG1
abfliegen, V., nhd.; L.: WDG1
abfließen, V., nhd.; L.: WDG1
abflößen, V., nhd.; L.: WDG1
Abflug, M., nhd.; L.: WDG1
Abflugsgewicht, N., nhd.; L.: WDG1
Abflugsort, M., nhd.; L.: WDG1
Abflugszeit, F., nhd.; L.: WDG1
Abfluss, M., Abfluß, nhd.; L.: WDG1
Abflussbecken, N., Abflußbecken, nhd.; L.: WDG1
Abflussgraben, M., Abflußgraben, nhd.; L.: WDG1
Abflussgrube, F., Abflußgrube, nhd.; L.: WDG1
Abflusshahn, M., Abflußhahn, nhd.; L.: WDG1
Abflusskanal, M., Abflußkanal, nhd.; L.: WDG1
abflusslos, Adj., abflußlos, nhd.; L.: WDG1
Abflussrinne, F., Abflußrinne, nhd.; L.: WDG1
Abflussrohr, N., Abflußrohr, nhd.; L.: WDG1
Abflussventil, N., Abflußventil, nhd.; L.: WDG1
abfluten, V., nhd.; L.: WDG1
abfohlen, V., nhd.; L.: WDG1
Abfolge, F., nhd.; L.: WDG1
abfordern, V., nhd.; L.: WDG1
abformen, V., nhd.; L.: WDG1
Abformung, F., nhd.; L.: WDG1
abfotografieren, V., nhd.; L.: WDG1
abfragen, V., nhd.; L.: WDG1
abfressen, V., nhd.; L.: WDG1
abfrieren, V., nhd.; L.: WDG1
abfrottieren, V., nhd.; L.: WDG1
Abfuhr, F., nhd.; L.: WDG1
abführen, V., nhd.; L.: WDG1
Abfuhrkosten, F., nhd.; L.: WDG1
Abführmittel, N., nhd.; L.: WDG1
Abfuhrpille, nhd.; L.: WDG1
Abfuhrschokolade, F., nhd.; L.: WDG1
Abführung, F., nhd.; L.: WDG1
Abfuhrunternehmen, N., nhd.; L.: WDG1
Abfüllapparat, M., nhd.; L.: WDG1
Abfüllapparat, M., nhd.; L.: WDG1
Abfüllbetrieb, M., nhd.; L.: WDG1
Abfülldatum, N., nhd.; L.: WDG1
abfüllen, V., nhd.; L.: WDG1
Abfüller, M., nhd.; L.: WDG1
Abfüllung, F., nhd.; L.: WDG1
abfüttern (1)?, V., nhd.; L.: WDG1
abfüttern (2)?, V., nhd.; L.: WDG1
Abfütterung, F., nhd.; L.: WDG1
Abgabe, F., nhd.; L.: WDG1
Abgabebescheid, M., nhd.; L.: WDG1
abgabefrei, Adj., nhd.; L.: WDG1
Abgabepflicht, F., nhd.; L.: WDG1
Abgabepreis, M., nhd.; L.: WDG1
